employee_id,employee_name,gender,age,department,designation,store_id,warehouse_id,join_date,salary
1,Avi Roy,Male,31,Sales,Store Manager,1,null,2024-06-26,68000.00
2,Omkar Puri,Male,26,Sales,Sales Executive,1,null,2024-10-19,27000.00
3,Samar Subramanian,Male,38,Sales,Sales Executive,1,null,2024-01-15,28500.00
4,Farhan Mishra,Male,45,Sales,Sales Executive,1,null,2024-04-27,29500.00
5,Geetika Ali,Female,43,Sales,Sales Executive,1,null,2024-03-22,30000.00
6,Kriti Reddy,Female,34,Sales,Sales Executive,1,null,2024-12-15,27500.00
7,Imran Bajaj,Male,27,Sales,Sales Executive,1,null,2024-12-25,26000.00
8,Sanjay Mathew,Male,43,Sales,Sales Executive,1,null,2024-04-18,29500.00
9,Manav Raman,Male,42,Sales,Sales Executive,1,null,2024-01-21,29000.00
10,Dhruv Pai,Male,42,Sales,Sales Executive,1,null,2024-03-19,28500.00
11,Hina Mukherjee,Female,41,Sales,Sales Executive,1,null,2024-03-11,28000.00
12,Mahima Menon,Female,31,Sales,Sales Executive,1,null,2024-12-14,26000.00
13,Krish Sinha,Male,39,Sales,Sales Executive,1,null,2024-08-05,29500.00
14,Radhika Gill,Female,37,Sales,Sales Executive,1,null,2024-02-20,29500.00
15,Ritvik Sehgal,Male,32,Sales,Sales Executive,1,null,2024-10-13,28000.00
16,Vijay Bhat,Male,32,Sales,Sales Executive,1,null,2024-11-19,26000.00
17,Samar Malhotra,Male,32,Sales,Cashier,1,null,2024-08-29,21500.00
18,Lakshay Chauhan,Male,35,Sales,Cashier,1,null,2024-12-27,21500.00
19,Tanya Hegde,Female,44,Sales,Cashier,1,null,2024-04-13,22000.00
20,Ajay Nair,Male,44,Sales,Cashier,1,null,2024-07-01,23000.00
21,Jatin Shah,Male,35,Sales,Store Manager,2,null,2024-11-21,67000.00
22,Omkar Ali,Male,37,Sales,Sales Executive,2,null,2024-03-19,30000.00
23,Manav Mirza,Male,43,Sales,Sales Executive,2,null,2024-06-26,30000.00
24,Sameer Pai,Male,42,Sales,Sales Executive,2,null,2024-01-03,30000.00
25,Sameer Sethi,Male,30,Sales,Sales Executive,2,null,2024-11-10,26500.00
26,Gaurav Desai,Male,38,Sales,Sales Executive,2,null,2024-06-08,28000.00
27,Riya Mirza,Female,28,Sales,Sales Executive,2,null,2024-09-27,28000.00
28,Dev Iyer,Male,26,Sales,Sales Executive,2,null,2024-10-15,27000.00
29,Samar Chatterjee,Male,43,Sales,Sales Executive,2,null,2024-07-31,28500.00
30,Imran Thomas,Male,28,Sales,Sales Executive,2,null,2024-10-13,25500.00
31,Ajay Arora,Male,35,Sales,Sales Executive,2,null,2024-11-01,27000.00
32,Rajiv Vohra,Male,38,Sales,Sales Executive,2,null,2024-03-05,29000.00
33,Sameer Subramanian,Male,39,Sales,Sales Executive,2,null,2024-01-10,29000.00
34,Ajay George,Male,39,Sales,Sales Executive,2,null,2024-08-13,29000.00
35,Heena Banerjee,Female,44,Sales,Sales Executive,2,null,2024-07-13,30000.00
36,Yash Fernandes,Male,28,Sales,Cashier,2,null,2024-12-15,21500.00
37,Naina Ali,Female,40,Sales,Cashier,2,null,2024-01-31,22000.00
38,Jhanvi Shetty,Female,45,Sales,Cashier,2,null,2024-05-13,23500.00
39,Tushar Thomas,Male,35,Sales,Cashier,2,null,2024-09-07,22000.00
40,Arjun Pai,Male,34,Sales,Store Manager,3,null,2023-07-19,71500.00
41,Ira Ali,Female,31,Sales,Sales Executive,3,null,2023-11-13,27500.00
42,Darshan Singh,Male,27,Sales,Sales Executive,3,null,2023-07-23,26500.00
43,Hitesh Ghosh,Male,32,Sales,Sales Executive,3,null,2023-03-21,28000.00
44,Dhruv Puri,Male,34,Sales,Sales Executive,3,null,2023-09-02,28000.00
45,Naina Naidu,Female,35,Sales,Sales Executive,3,null,2023-12-17,28000.00
46,Rashi Krishnan,Female,30,Sales,Sales Executive,3,null,2023-05-17,29500.00
47,Yash George,Male,28,Sales,Sales Executive,3,null,2023-01-06,28000.00
48,Upasana Tiwari,Female,26,Sales,Sales Executive,3,null,2023-12-05,27500.00
49,Ishita Chatterjee,Female,34,Sales,Sales Executive,3,null,2023-01-15,28000.00
50,Pranav Srivastava,Male,35,Sales,Sales Executive,3,null,2023-12-21,29500.00
51,Darshan Krishnan,Male,26,Sales,Sales Executive,3,null,2023-05-16,28000.00
52,Rashi Arora,Female,31,Sales,Sales Executive,3,null,2023-01-25,29500.00
53,Harshil Thakur,Male,35,Sales,Sales Executive,3,null,2023-03-14,28000.00
54,Karan D'Souza,Male,30,Sales,Sales Executive,3,null,2023-07-31,29000.00
55,Aadesh Jain,Male,35,Sales,Cashier,3,null,2023-06-08,23000.00
56,Trisha Krishnan,Female,34,Sales,Cashier,3,null,2023-12-21,21500.00
57,Akshay Raman,Male,31,Sales,Cashier,3,null,2023-12-23,21500.00
58,Vijay Agarwal,Male,27,Sales,Cashier,3,null,2023-07-10,21000.00
59,Gaurav Prasad,Male,31,Sales,Store Manager,4,null,2025-04-20,65500.00
60,Esha Mehta,Female,55,Sales,Sales Executive,4,null,2025-01-27,29500.00
61,Girish Kapoor,Male,46,Sales,Sales Executive,4,null,2025-06-24,28000.00
62,Pranav Krishnan,Male,53,Sales,Sales Executive,4,null,2025-03-23,29500.00
63,Vijay Thakur,Male,51,Sales,Sales Executive,4,null,2025-03-24,30000.00
64,Riya Thomas,Female,48,Sales,Sales Executive,4,null,2025-03-27,29000.00
65,Avni Gill,Female,50,Sales,Sales Executive,4,null,2025-04-25,28500.00
66,Eshan Joshi,Male,38,Sales,Sales Executive,4,null,2025-10-22,27500.00
67,Meera Suri,Female,42,Sales,Sales Executive,4,null,2025-08-06,28000.00
68,Hemant Thomas,Male,38,Sales,Sales Executive,4,null,2025-11-08,27000.00
69,Vivaan Pillai,Male,42,Sales,Sales Executive,4,null,2025-11-09,28000.00
70,Aadesh Ali,Male,40,Sales,Sales Executive,4,null,2025-12-08,27500.00
71,Manav Sethi,Male,56,Sales,Sales Executive,4,null,2025-04-10,29000.00
72,Vivaan Patel,Male,52,Sales,Sales Executive,4,null,2025-05-18,29000.00
73,Jhanvi Hegde,Female,36,Sales,Sales Executive,4,null,2025-09-15,26500.00
74,Krish Ansari,Male,40,Sales,Cashier,4,null,2025-09-02,21500.00
75,Rohan Qureshi,Male,45,Sales,Cashier,4,null,2025-10-07,21500.00
76,Aadhya Mathew,Female,39,Sales,Cashier,4,null,2025-09-10,21000.00
77,Rajiv Yadav,Male,47,Sales,Cashier,4,null,2025-07-11,22000.00
78,Varun Bajaj,Male,35,Sales,Store Manager,5,null,2022-03-30,74500.00
79,Imran Ahuja,Male,29,Sales,Sales Executive,5,null,2022-01-09,30500.00
80,Anirudh Pillai,Male,24,Sales,Sales Executive,5,null,2022-09-05,28000.00
81,Jhanvi Bhat,Female,22,Sales,Sales Executive,5,null,2022-08-29,28000.00
82,Avni Qureshi,Female,27,Sales,Sales Executive,5,null,2022-05-22,29000.00
83,Aditya Joshi,Male,22,Sales,Sales Executive,5,null,2022-07-29,27500.00
84,Aarav Thomas,Male,25,Sales,Sales Executive,5,null,2022-08-05,29000.00
85,Ishaan Nambiar,Male,23,Sales,Sales Executive,5,null,2022-11-15,28500.00
86,Gauri Sethi,Female,33,Sales,Sales Executive,5,null,2022-01-31,31000.00
87,Madhav Suri,Male,26,Sales,Sales Executive,5,null,2022-06-22,28500.00
88,Rohan Rana,Male,34,Sales,Sales Executive,5,null,2022-05-23,30000.00
89,Aanya Malhotra,Female,30,Sales,Sales Executive,5,null,2022-03-08,30000.00
90,Manav Pillai,Male,30,Sales,Cashier,5,null,2022-02-22,22500.00
91,Imran Vohra,Male,22,Sales,Cashier,5,null,2022-09-10,21000.00
92,Samar Das,Male,28,Sales,Cashier,5,null,2022-01-05,22000.00
93,Chahat Arora,Other,35,Sales,Store Manager,6,null,2025-09-27,68000.00
94,Chirag Raman,Male,43,Sales,Sales Executive,6,null,2025-11-23,27500.00
95,Diya Sandhu,Female,40,Sales,Sales Executive,6,null,2025-08-26,26500.00
96,Aryan Naidu,Male,37,Sales,Sales Executive,6,null,2025-11-29,26000.00
