customer_id,customer_name,gender,age,city,state,region,join_date,first_purchase_date,latest_purchase_date,customer_lifetime_orders,customer_lifetime_revenue,customer_lifetime_profit,average_order_value,preferred_product,preferred_category,preferred_brand,preferred_sales_channel,preferred_payment_method,customer_revenue_contribution_percentage,customer_gross_profit_contribution_percentage,is_repeat_customer
1,"Chirag Anand Bajaj",Male,22,Chennai,"Tamil Nadu",South,2022-12-10,2023-01-16,2023-01-16,1,251946.06,22164.27,251946.06,"OLED evo G5",Televisions,IFB,Flipkart,Card,0.0034,0.0056,No
2,"Rekha Chandra Desai",Female,64,Ghaziabad,"Uttar Pradesh",North,2026-05-09,2026-05-14,2026-05-14,1,36259.07,5041.93,36259.07,"PlayStation Portal",Gaming,Sony,Website,"Net Banking",0.0005,0.0013,No
3,"Aarav Jit Naidu",Male,22,Ahmedabad,Gujarat,West,2022-11-30,2022-12-25,2024-11-14,2,126619.80,3123.38,63309.90,"Galaxy S25+",Smartphones,Samsung,"Offline Store",Cash,0.0017,0.0008,Yes
4,"Ritesh Ranjan Kulkarni",Male,20,Thiruvananthapuram,Kerala,South,2024-06-17,2024-09-04,2024-09-04,1,19669.77,790.57,19669.77,"Apple Watch SE","Smart Watches",Apple,Amazon,Card,0.0003,0.0002,No
5,"Ritika Shan Kohli",Female,25,Raipur,Chhattisgarh,Central,2019-11-15,2020-08-20,2020-08-20,1,7370.08,1220.83,7370.08,"Hand Blender","Kitchen Appliances","Morphy Richards","Offline Store",Cash,0.0001,0.0003,No
6,"Sameer Tej Nair",Male,24,Bengaluru,Karnataka,South,2020-12-31,2021-01-27,2023-09-21,3,416179.54,6464.25,138726.51,"Galaxy Z Flip 7",Smartphones,Samsung,"Offline Store",Card,0.0056,0.0016,Yes
7,"Ritesh Jit Trivedi",Male,31,Noida,"Uttar Pradesh",North,2021-11-27,2021-12-24,2024-07-20,3,261301.81,19499.10,87100.60,"Top Load Washing Machine","Home Appliances",Godrej,"Offline Store",Cash,0.0035,0.0049,Yes
9,"Pragya Rai Saxena",Female,54,Jaipur,Rajasthan,North,2025-02-24,2025-04-25,2025-11-08,3,147697.00,20929.54,49232.33,"iPad Pro Nano-texture",Tablets,Apple,"Offline Store","Net Banking",0.0020,0.0053,Yes
11,"Shubham Prakash Kamble",Male,54,"New Delhi",Delhi,North,2025-12-24,2026-06-11,2026-06-11,1,79933.28,3251.72,79933.28,"OnePlus 13R",Smartphones,Logitech,"Mobile App",UPI,0.0011,0.0008,No
12,"Akash Raj Kapoor",Male,52,Raipur,Chhattisgarh,Central,2025-02-25,2026-01-02,2026-01-02,1,8065.35,1241.10,8065.35,"Nutri Blend","Kitchen Appliances",Wonderchef,"Mobile App",Card,0.0001,0.0003,No
13,"Chirag Hari Mathew",Male,55,Ahmedabad,Gujarat,West,2025-08-25,2026-03-31,2026-03-31,1,13616.09,824.87,13616.09,"Redmi Watch 5","Smart Watches",Xiaomi,Flipkart,"Net Banking",0.0002,0.0002,No
14,"Mitali Raj D'Souza",Female,21,Kochi,Kerala,South,2023-12-21,2024-03-08,2024-03-08,1,4005.51,402.19,4005.51,"MX Keys S",Accessories,Logitech,"Offline Store",Card,0.0001,0.0001,No
15,"Madhuri Ranjan Trivedi",Female,21,Noida,"Uttar Pradesh",North,2023-11-14,2024-08-01,2024-08-01,1,4249.00,1062.25,4249.00,"Electric Kettle","Kitchen Appliances",Havells,"Offline Store",UPI,0.0001,0.0003,No
16,"Tanvi Jay Mittal",Female,30,Guwahati,Assam,East,2019-01-05,2019-03-14,2021-07-29,2,44486.06,5397.64,22243.03,"Edge 60",Smartphones,Motorola,"Offline Store",Card,0.0006,0.0014,Yes
17,"Saurabh Tej Bhatt",Male,50,Panaji,Goa,West,2025-09-25,2025-10-05,2025-10-05,1,110091.94,12.80,110091.94,"ThinkPad E16",Laptops,Lenovo,Flipkart,Card,0.0015,0.0000,No
18,"Shruti Deep Bhatt",Female,30,Patna,Bihar,East,2019-07-16,2020-08-17,2020-08-17,1,8026.75,977.50,8026.75,"Air Fryer Prolife","Kitchen Appliances",Havells,"Offline Store",Cash,0.0001,0.0002,No
19,"Geeta Neel Patil",Female,22,Bhopal,"Madhya Pradesh",Central,2022-06-07,2022-11-16,2022-11-16,1,117311.24,1142.80,117311.24,"OmniBook X",Laptops,Apple,"Offline Store",Cash,0.0016,0.0003,No
20,"Ashish Avi Pandey",Male,29,Noida,"Uttar Pradesh",North,2019-03-18,2019-06-14,2019-06-14,1,47399.00,4739.90,47399.00,"Galaxy Z Flip 7",Smartphones,Samsung,Amazon,UPI,0.0006,0.0012,No
21,"Rashmi Shan Goel",Female,21,Lucknow,"Uttar Pradesh",North,2023-09-08,2023-10-24,2023-10-24,1,8558.68,837.46,8558.68,"HomePod mini","Audio Devices",Apple,Website,UPI,0.0001,0.0002,No
22,"Rohit Surya George",Male,22,Visakhapatnam,"Andhra Pradesh",South,2022-09-04,2022-10-05,2022-10-05,1,6600.40,676.15,6600.40,"Airfryer 5000 Series","Kitchen Appliances",Philips,Website,"Net Banking",0.0001,0.0002,No
23,"Aarav Neel George",Male,31,Indore,"Madhya Pradesh",Central,2021-11-01,2021-12-11,2022-07-27,2,120392.80,7331.24,60196.40,"Pixel 10 Pro XL",Smartphones,Anker,"Offline Store",UPI,0.0016,0.0018,Yes
24,"Shaurya Dev Trivedi",Male,56,Ahmedabad,Gujarat,West,2025-02-01,2025-06-05,2025-06-05,1,150783.22,8297.44,150783.22,"X200 Pro",Smartphones,Apple,"Offline Store",UPI,0.0020,0.0021,No
25,"Preeti Raj Sarin",Female,30,Indore,"Madhya Pradesh",Central,2020-09-16,2021-02-10,2022-12-03,2,21100.47,2373.26,10550.24,"Galaxy Buds3","Audio Devices",Bajaj,"Offline Store",UPI,0.0003,0.0006,Yes
26,"Mansi Nath Jain",Female,20,Patna,Bihar,East,2024-07-18,2024-08-08,2024-08-08,1,10363.06,1159.84,10363.06,"Luna Ring","Smart Watches",Noise,"Offline Store",UPI,0.0001,0.0003,No
27,"Trisha Nath Soni",Female,30,Gurugram,Haryana,North,2020-05-14,2020-08-26,2024-08-19,3,188419.27,3948.51,62806.42,"Redmi 14C","Audio Devices",Apple,Flipkart,UPI,0.0026,0.0010,Yes
28,"Aparna Ranjan Das",Female,28,Panaji,Goa,West,2016-10-05,2017-01-11,2018-03-30,3,75943.89,2618.33,25314.63,"V50 Pro",Smartphones,Apple,"Offline Store",Card,0.0010,0.0007,Yes
30,"Kunal Tej Prajapati",Male,21,Nagpur,Maharashtra,West,2023-06-03,2023-09-02,2023-09-02,1,105932.91,3593.77,105932.91,"Pavilion Plus",Laptops,HP,"Mobile App","Net Banking",0.0014,0.0009,No
31,"Mitali Kishore Khan",Female,30,Jodhpur,Rajasthan,North,2019-06-09,2019-07-31,2019-07-31,1,103957.53,1618.39,103957.53,"Pavilion Plus",Laptops,HP,"Offline Store",UPI,0.0014,0.0004,No
32,"Shubham Prem Kale",Male,29,Raipur,Chhattisgarh,Central,2018-05-29,2018-07-03,2019-01-29,2,184398.64,25792.26,92199.32,"Alienware m16",Laptops,Dell,"Offline Store",Card,0.0025,0.0065,Yes
33,"Mayank Veer Siddiqui",Male,23,Hyderabad,Telangana,South,2021-12-22,2022-01-29,2022-01-29,1,53982.53,1903.37,53982.53,X82L,Televisions,Sony,"Offline Store",UPI,0.0007,0.0005,No
34,"Harsh Deep Thakur",Male,40,Ahmedabad,Gujarat,West,2024-03-18,2024-06-12,2024-06-12,1,404473.27,3245.61,404473.27,V50,Smartphones,LG,"Offline Store",Cash,0.0055,0.0008,No
36,"Charu Pal Das",Female,22,Indore,"Madhya Pradesh",Central,2022-11-24,2022-11-25,2022-11-25,1,1380.31,48.19,1380.31,"Ultra microSDXC Card",Accessories,SanDisk,"Offline Store",Cash,0.0000,0.0000,No
37,"Kiara Lal Mirza",Female,53,Chennai,"Tamil Nadu",South,2025-03-01,2025-04-29,2025-04-29,1,300733.18,17445.72,300733.18,"iPhone 16",Smartphones,Logitech,Flipkart,Card,0.0041,0.0044,No
38,"Mahima Neel Goel",Female,21,Jodhpur,Rajasthan,North,2023-12-22,2024-03-23,2024-03-23,1,14560.67,1769.45,14560.67,"Redmi Watch 5","Smart Watches",Xiaomi,Website,"Net Banking",0.0002,0.0004,No
39,"Muskan Jay Jain",Female,42,Kolkata,"West Bengal",East,2024-12-09,2024-12-21,2024-12-21,1,181213.95,19140.13,181213.95,"Pixel Tablet",Tablets,Google,"Offline Store",Cash,0.0025,0.0048,No
40,"Ajay Om Chatterjee",Male,20,Ahmedabad,Gujarat,West,2024-07-01,2024-09-07,2024-09-07,1,5031.65,700.41,5031.65,"Rockerz 551 ANC","Audio Devices",Boat,Amazon,"Net Banking",0.0001,0.0002,No
41,"Ruchi Pal Mishra",Female,30,Indore,"Madhya Pradesh",Central,2019-12-04,2020-02-17,2022-11-06,2,13963.23,1994.69,6981.61,"ULT Wear","Audio Devices",Anker,"Offline Store",Cash,0.0002,0.0005,Yes
42,"Vivek Jay Brar",Male,20,Bhopal,"Madhya Pradesh",Central,2024-09-28,2024-10-12,2024-10-12,1,62322.10,4151.74,62322.10,"A5 Pro",Smartphones,Oppo,"Offline Store",UPI,0.0008,0.0010,No
43,"Atharv Raj Trivedi",Male,22,Bengaluru,Karnataka,South,2022-11-14,2022-12-24,2023-02-02,2,86359.70,2455.46,43179.85,"Galaxy S25+",Smartphones,Google,"Offline Store",UPI,0.0012,0.0006,Yes
