customer_id,customer_name,gender,age,customer_type,city,state,region,join_date
1,Chirag Anand Bajaj,Male,22,Business,Chennai,Tamil Nadu,South,2021-02-08
2,Rekha Chandra Desai,Female,64,Individual,Ghaziabad,Uttar Pradesh,North,2017-03-25
3,Aarav Jit Naidu,Male,22,Individual,Ahmedabad,Gujarat,West,2025-12-21
4,Ritesh Ranjan Kulkarni,Male,20,Government,Thiruvananthapuram,Kerala,South,2020-02-02
5,Ritika Shan Kohli,Female,25,Individual,Raipur,Chhattisgarh,Central,2021-10-08
6,Sameer Tej Nair,Male,24,Business,Bengaluru,Karnataka,South,2023-07-19
7,Ritesh Jit Trivedi,Male,31,Individual,Noida,Uttar Pradesh,North,2024-05-30
8,Mitali Dev Siddiqui,Female,65,Individual,Kolkata,West Bengal,East,2026-04-07
9,Pragya Rai Saxena,Female,54,Business,Jaipur,Rajasthan,North,2024-10-12
10,Charu Nath Saha,Female,75,Individual,Indore,Madhya Pradesh,Central,2019-08-10
11,Shubham Prakash Kamble,Male,54,Business,New Delhi,Delhi,North,2021-08-28
12,Akash Raj Kapoor,Male,52,Individual,Raipur,Chhattisgarh,Central,2019-12-15
13,Chirag Hari Mathew,Male,55,Government,Ahmedabad,Gujarat,West,2026-07-03
14,Mitali Raj D'Souza,Female,21,Individual,Kochi,Kerala,South,2018-10-08
15,Madhuri Ranjan Trivedi,Female,21,Individual,Noida,Uttar Pradesh,North,2023-09-13
16,Tanvi Jay Mittal,Female,30,Individual,Guwahati,Assam,East,2024-02-07
17,Saurabh Tej Bhatt,Male,50,Individual,Panaji,Goa,West,2024-01-04
18,Shruti Deep Bhatt,Female,30,Individual,Patna,Bihar,East,2024-07-30
19,Geeta Neel Patil,Female,22,Individual,Bhopal,Madhya Pradesh,Central,2020-10-09
20,Ashish Avi Pandey,Male,29,Business,Noida,Uttar Pradesh,North,2024-10-18
21,Rashmi Shan Goel,Female,21,Individual,Lucknow,Uttar Pradesh,North,2022-09-17
22,Rohit Surya George,Male,22,Individual,Visakhapatnam,Andhra Pradesh,South,2019-12-29
23,Aarav Neel George,Male,31,Individual,Indore,Madhya Pradesh,Central,2024-10-30
24,Shaurya Dev Trivedi,Male,56,Business,Ahmedabad,Gujarat,West,2026-05-19
25,Preeti Raj Sarin,Female,30,Individual,Indore,Madhya Pradesh,Central,2019-08-21
26,Mansi Nath Jain,Female,20,Business,Patna,Bihar,East,2022-10-06
27,Trisha Nath Soni,Female,30,Business,Gurugram,Haryana,North,2020-12-11
28,Aparna Ranjan Das,Female,28,Business,Panaji,Goa,West,2025-01-10
